Company,Industry,State,FoundedYear,FTE,6Months_growth,1Year_growth,2Year_growth,ContactName,Title,City,ZipCode,STATE_CODE,CAPITAL_RAISED,CITY,COUNTRY,US_POSTAL_CODE,GLOBAL_POSTAL_CODE,STATUS,SECTOR,SUB_SECTOR,Company_age
ACES Risk Management,Financial Services,Colorado,1989,47,0.07,0.15,0.24,Trevor Gauthier,CEO,Denver,80206,CO,0,Denver,United States,80206, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,31
Allbound,Internet,Arizona,2014,46,0.12,0.15,0.84,David Thomson,CEO,Scottsdale,85251,AZ,9000000,Scottsdale,United States,85251, ,3A. Prospect (30+ FTEs),2. Horizontal,IT,6
Allegiance Merchant Services,Financial Services,North Carolina,2009,33,0.03,0,0.18,Josh Brant,CEO,Charlotte,28205,NC,0,Charlotte,United States,28205, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,11
"Alpha II, LLC",Information Technology and Services,Florida,Data not available,70,0.01,0.06,0.08,Rex Stanley,President,Tallahassee,32317,FL,0,Tallahassee,United States,32317, ,3A. Prospect (30+ FTEs),2. Horizontal,IT,Data not available
AMERGINT Technologies,Defense & Space,Colorado,2008,68,0.16,0.16,0.74,Rob Andzik,President,Colorado Springs,80920,CO,0,Colorado Springs,United States,80920, ,3A. Prospect (30+ FTEs),1. Vertical,Government,12
AMI Strategies,Financial Services,Florida,1991,39,0,0,0.03,Jane Sydlowski,CEO,Livonia,48152,FL,0,Livonia,United States,48152, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,29
"Annapolis Micro Systems, Inc.",Computer Hardware,Maryland,1982,62,0,0.02,0,Dan Markoff,VP,Annapolis,21401,MD,0,Annapolis,United States,21401, ,3A. Prospect (30+ FTEs),3. Infrastructure,Systems Mgmt,38
APU Solutions,Automotive,Kansas,1999,56,0,0,0.02,Charles Lukens,Founder,Overland Park,66210,KS,300000,Overland Park,United States,66210, ,3A. Prospect (30+ FTEs),1. Vertical,Auto,21
Aquaveo,Civil Engineering,Utah,1985,37,0.05,0.08,0.22,Royd Nelson,Vice President,Provo,84604,UT,0,Provo,United States,84604, ,3A. Prospect (30+ FTEs),1. Vertical,AEC,35
Archarithms,Defense & Space,Alabama,2012,52,0.07,0,0.2,Randy Riley,CEO,Huntsville,35801,AL,0,Huntsville,United States,35801, ,3A. Prospect (30+ FTEs),1. Vertical,Government,8
"ATSER Systems, Inc.",Civil Engineering,Texas,1993,42,0.03,0.05,0.08,D. Martinez,CEO,Houston,77060,TX,0,Houston,United States,77060, ,3A. Prospect (30+ FTEs),1. Vertical,AEC,27
AVT Simulation,Defense & Space,Florida,1998,116,0.01,0.05,0.16,Robert Abascal,CEO,Orlando,32826-2716,FL,0,Orlando,United States, ,32826-2716,3A. Prospect (30+ FTEs),1. Vertical,Government,22
Barchart,Financial Services,Illinois,1980,53,0.02,0,0.04,Mark Haraburda,CEO,Chicago,60606,IL,0,Chicago,United States,60606, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,40
BeckWay Group,Venture Capital & Private Equity,New York,2016,73,0.21,0.75,0.33,Mark Habner,CEO, New York,450 ,NY,0, New York,United States, ,450 ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,4
"BETA CAE Systems USA, Inc.",Mechanical or Industrial Engineering,Michigan,1997,63,0.05,0.07,0.16, Hideshige Okamura,CEO,Farmington Hills,48334,MI,0,Farmington Hills,United States,48334, ,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,23
Blueport Commerce,Internet,Massachusetts,2009,56,0.02,0.11,0.47,Carl Prindle,CEO,Boston,2118,MA,0,Boston,United States, ,2118,3A. Prospect (30+ FTEs),2. Horizontal,IT,11
BOLT ON TECHNOLOGY (Automotive),Automotive,Pennsylvania,2008,34,0.03,0.01,0,Mike Risich,CEO,Southampton,18966,PA,10000000,Southampton,United States,18966, ,3A. Prospect (30+ FTEs),1. Vertical,Auto,12
Bourque Logistics,Logistics and Supply Chain,Texas,1989,59,0.07,0.09,0.14,Steve Bourque,president,The Woodlands,77380,TX,0,The Woodlands,United States,77380, ,3A. Prospect (30+ FTEs),2. Horizontal,Supply Chain,31
Brain Power,Education Management,Massachusetts,2013,34,0,0.02,0.03,Ned Sahin,CEO,Cambridge,2142,MA,0,Cambridge,United States,2142, ,3A. Prospect (30+ FTEs),1. Vertical,Education,7
"C/F Data Systems, LLC",Construction,Massachusetts,1979,35,0.06,0.06,0.1,Eric Goldstein,CEO,Weymouth,2189,MA,0,Weymouth,United States,2189, ,3A. Prospect (30+ FTEs),1. Vertical,AEC,41
C4i Training and Technology,Defense & Space,Virginia,2003,39,0.34,0.05,0.63,Niall Clyne,CEO,Tysons Corner,22102,VA,0,Tysons Corner,United States,22102, ,3A. Prospect (30+ FTEs),1. Vertical,Government,17
Capital Market Services,Financial Services,New York,1999,41,0,0,0.03,Vera Hawkin,CEO,New York,10118,NY,0,New York,United States,10118, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,21
"Carlson Software, Laser Measurement Devices",Electrical/Electronic Manufacturing,Kentucky,1983,52,0,0,0,Yasunobu Hashimoto,Vice President,Maysville,41056,KY,0,Maysville,United States,41056, ,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,37
Car-Research XRM,Automotive,Texas,1995,60,0.02,0.08,0.09,Patrick Kelly,CEO,Houston,77092,TX,0,Houston,United States,77092, ,3A. Prospect (30+ FTEs),1. Vertical,Auto,25
"Celtic Engineering, Inc.",Civil Engineering,Florida,2005,45,0.04,0.02,0.05,Jeremy Wall,President,Windermere,34786,FL,0,Windermere,United States,34786, ,3A. Prospect (30+ FTEs),1. Vertical,AEC,15
ChannelNet,Marketing and Advertising,Michigan,1985,62,0.05,0.05,0.09,Christopher Sims,CTO,Dearborn,48126,MI,0,Dearborn,United States,48126, ,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,35
Chargeback,Financial Services,Utah,2011,74,0.07,0.11,0.34,John Munro - ,CEO,Salt Lake City,84103,UT,0,Salt Lake City,United States,84103, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,9
ChemImage Corporation,Defense & Space,Pennsylvania,1994,108,0.03,0.13,0.18,Jeffrey K. Cohen,President, Pittsburgh,15208,PA,0, Pittsburgh,United States,15208, ,3A. Prospect (30+ FTEs),1. Vertical,Government,26
"Clarity Ventures, Inc.",Internet,Texas,2006,32,0,0.19,0.19,Chris Reddick,CEO,Austin,78759,TX,0,Austin,United States,78759, ,3A. Prospect (30+ FTEs),2. Horizontal,IT,14
Clear Touch Interactive,Computer Hardware,South Carolina,2012,40,0.11,0.18,0.17,Keone Trask ,President,Greenville,29607,SC,0,Greenville,United States,29607, ,3A. Prospect (30+ FTEs),3. Infrastructure,Systems Mgmt,8
Closerlook,Marketing and Advertising,Illinois,1987,118,0.02,0.13,0.43,David Ormesher,CEO,Chicago,60654,IL,0,Chicago,United States,60654, ,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,33
Cognitive Systems Corp.,Wireless,Ontario,2014,45,0.02,0.16,0.02,Tajinder Manku,CEO,Waterloo,560 ,Ontario,0,Waterloo,Canada, ,560 ,3A. Prospect (30+ FTEs),3. Infrastructure,Network / Storage,6
Continuity Programs,Marketing and Advertising,Michigan,1973,33,0.03,0.03,0.03,Kirk King,President,Walled Lake,48390,MI,0,Walled Lake,United States,48390, ,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,47
Controller Technologies Corporation,Automotive,Michigan,1991,33,0.03,0,0.03,Dan Marus,President,Rochester,48307,MI,0,Rochester,United States,48307, ,3A. Prospect (30+ FTEs),1. Vertical,Auto,29
ControlSoft Inc.,Industrial Automation,Ohio,1985,40,0,0,0.14,Tien-Li Chia,President,Highland Heights,44143,OH,0,Highland Heights,United States,44143, ,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,35
Corporate Settlement Solutions,Real Estate,Michigan,1992,55,0.04,0.02,0.02,Jerome,Founder,Traverse City,49686,MI,0,Traverse City,United States,49686, ,3A. Prospect (30+ FTEs),1. Vertical,Real Estate,28
Cougar Mountain Software,Accounting,Idaho,1982,62,0,0.09,0.09,Chuck Gossett,CEO,Boise,83704,ID,0,Boise,United States,83704, ,3A. Prospect (30+ FTEs),2. Horizontal,Finance,38
Crystal Clear Digital Marketing,Marketing and Advertising,Florida,2013,55,0.15,0.08,0.06,Adam DeGraide,CEO,Orlando,32819,FL,0,Orlando,United States,32819, ,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,7
DataLink Software,Hospital & Health Care,Florida,2002,97,0.08,0.27,0.58,Kevin Steele,CEO,Tampa,33637,FL,0,Tampa,United States, ,33637,3A. Prospect (30+ FTEs),4. Healthcare,Hospital/Provider,18
DataMaster for Appraisers,Real Estate,Utah,1980,45,0,0.05,0.14,Kevin White,CEO,Layton,84041,UT,0,Layton,United States,84041, ,3A. Prospect (30+ FTEs),1. Vertical,Real Estate,40
Dealer Teamwork ,Marketing and Advertising,Minnesota,2016,82,0.01,0.04,0.51,Sean Stapleton,CEO,Eden Prairie,55344,MN,0,Eden Prairie,United States,55344, ,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,4
deciBel Research,Defense & Space,Alabama,2002,119,0.02,0.02,0.08,Bassem Mahafza,CEO,Huntsville, 35806,AL,0,Huntsville,United States, , 35806,3A. Prospect (30+ FTEs),1. Vertical,Government,18
DG Technologies,Automotive,Michigan,Data not available,68,0.02,0.03,0.03,Kathie Obrien,Vice President,Farmington Hills,48335,MI,0,Farmington Hills,United States,48335, ,3A. Prospect (30+ FTEs),1. Vertical,Auto,Data not available
DigiPro Media,Marketing and Advertising,Florida,2013,36,0,0.03,0.06,Steve Barshov,CEO,Pensacola,32502,FL,0,Pensacola,United States,32502, ,3A. Prospect (30+ FTEs),2. Horizontal,Marketing,7
Dimensional Control Systems,Mechanical or Industrial Engineering,Michigan,1995,65,0.02,0,0,John Mathieson,CEO,Troy,48098,MI,0,Troy,United States,48098, ,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,25
"DISTek Integration, Inc.",Electrical/Electronic Manufacturing,Iowa,1992,84,0.08,0.09,0.08,Jeremy Yoder,CEO,Cedar Falls,50613,IA,0,Cedar Falls,United States,50613, ,3A. Prospect (30+ FTEs),1. Vertical,Manufacturing,28
"DYNICS, Inc.",Computer Hardware,Michigan,Data not available,40,0,0,0.11,PIYUSH MEHTA,CEO,Ann Arbor, 48108,MI,0,Ann Arbor,United States, , 48108,3A. Prospect (30+ FTEs),3. Infrastructure,Systems Mgmt,Data not available
"Ease Logistics, an Inc. 5000 Company",Transportation/Trucking/Railroad,Ohio,2014,59,0.02,0.01,0.72,Peter Coratola ,CEO,Dublin,43016,OH,0,Dublin,United States,43016, ,3A. Prospect (30+ FTEs),2. Horizontal,Fleet & Field,6
EmbedTek,Computer Hardware,Wisconsin,Data not available,59,0.02,0.04,0.1,Dan Aicher,CEO,Waukesha,"53188,",WI,0,Waukesha,United States, ,"53188,",3A. Prospect (30+ FTEs),3. Infrastructure,Systems Mgmt,Data not available
